[2017/12/19 14:47:11] , 0.441
[2017/12/19 14:47:11] , 0.074
[2017/12/19 14:47:12] , 0.93
[2017/12/19 14:47:12] , 0.152
[2017/12/19 14:47:12] , 0.115
[2017/12/19 14:47:12] , 0.091
[2017/12/19 14:47:12] , 0.064
[2017/12/19 14:47:12] , 0.064
[2017/12/19 14:47:12] , 0.065
[2017/12/19 14:47:13] , 1.018
[2017/12/19 14:47:14] , 0.715
[2017/12/19 14:47:14] , 0.064
[2017/12/19 14:47:14] , 0.065
[2017/12/19 14:47:14] , 0.065
[2017/12/19 14:47:14] , 0.064
[2017/12/19 14:47:15] , 0.055
[2017/12/19 14:47:15] , 0.67
[2017/12/19 14:47:15] , 0.184
[2017/12/19 14:47:15] , 0.055
[2017/12/19 14:47:15] , 0.055
[2017/12/19 14:47:16] , 0.06
[2017/12/19 14:47:16] , 0.046
[2017/12/19 14:47:16] , 0.046
[2017/12/19 14:47:17] , 1.667
[2017/12/19 14:47:17] , 0.11
[2017/12/19 14:47:17] , 0.083
[2017/12/19 14:47:18] , 0.069
[2017/12/19 14:47:18] , 0.055
[2017/12/19 14:47:18] , 0.046
[2017/12/19 14:47:18] , 0.041
[2017/12/19 14:47:18] , 0.037
[2017/12/19 14:47:18] , 0.046
[2017/12/19 14:47:18] , 0.601
[2017/12/19 14:47:18] , 0.064
[2017/12/19 14:47:19] , 0.06
[2017/12/19 14:47:19] , 0.096
[2017/12/19 14:47:19] , 0.088
[2017/12/19 14:47:19] , 0.087
[2017/12/19 14:47:19] , 0.069
[2017/12/19 14:47:19] , 0.06
[2017/12/19 14:47:19] , 0.06
[2017/12/19 14:47:20] , 0.692
[2017/12/19 14:47:20] , 0.059
[2017/12/19 14:47:20] , 0.046
[2017/12/19 14:47:20] , 0.041
[2017/12/19 14:47:20] , 0.051
[2017/12/19 14:47:20] , 0.046
[2017/12/19 14:47:20] , 0.036
[2017/12/19 14:47:20] , 0.032
[2017/12/19 14:47:20] , 0.033
[2017/12/19 14:47:20] , 0.05
[2017/12/19 14:47:21] , 0.568
[2017/12/19 14:47:21] , 0.065
[2017/12/19 14:47:21] , 0.056
[2017/12/19 14:47:21] , 0.055
[2017/12/19 14:47:21] , 0.051
[2017/12/19 14:47:21] , 0.051
[2017/12/19 14:47:21] , 0.05
[2017/12/19 14:47:21] , 0.046
[2017/12/19 14:47:21] , 0.05
[2017/12/19 14:47:21] , 0.055
[2017/12/19 14:47:21] , 0.065
[2017/12/19 14:47:21] , 0.065
[2017/12/19 14:47:21] , 0.06
[2017/12/19 14:47:21] , 0.078
[2017/12/19 14:47:22] , 0.587
[2017/12/19 14:47:22] , 0.078
[2017/12/19 14:47:22] , 0.074
[2017/12/19 14:47:22] , 0.151
[2017/12/19 14:47:22] , 0.051
[2017/12/19 14:47:22] , 0.037
[2017/12/19 14:47:22] , 0.042
[2017/12/19 14:47:22] , 0.037
[2017/12/19 14:47:22] , 0.041
[2017/12/19 14:47:23] , 0.033
[2017/12/19 14:47:23] , 0.028
[2017/12/19 14:47:23] , 0.032
[2017/12/19 14:47:23] , 0.047
[2017/12/19 14:47:23] , 0.046
[2017/12/19 15:37:27] , 2.883
[2017/12/19 15:37:27] , 0.408
[2017/12/19 15:37:28] , 0.219
[2017/12/19 15:37:28] , 0.197
[2017/12/19 15:37:28] , 0.305
[2017/12/19 15:37:28] , 0.27
[2017/12/19 15:37:29] , 0.297
[2017/12/19 15:37:29] , 0.306
[2017/12/19 15:37:29] , 0.29
[2017/12/19 15:37:30] , 0.303
[2017/12/19 15:37:30] , 0.311
[2017/12/19 15:37:30] , 0.307
[2017/12/19 15:37:30] , 0.295
[2017/12/19 15:37:31] , 0.306
[2017/12/19 15:37:31] , 0.296
[2017/12/19 15:37:31] , 0.296
[2017/12/19 15:37:32] , 0.315
[2017/12/19 15:37:32] , 0.298
[2017/12/19 15:37:32] , 0.303
[2017/12/19 15:37:33] , 0.308
[2017/12/19 15:37:33] , 0.309
[2017/12/19 15:37:33] , 0.294
[2017/12/19 15:37:34] , 0.303
[2017/12/19 15:37:34] , 0.317
[2017/12/19 15:37:34] , 0.277
[2017/12/19 15:37:34] , 0.308
[2017/12/19 15:37:35] , 0.317
[2017/12/19 15:37:35] , 0.285
[2017/12/19 15:37:35] , 0.328
[2017/12/19 15:37:36] , 0.236
[2017/12/19 15:37:36] , 0.272
[2017/12/19 15:37:37] , 1.023
[2017/12/19 15:37:37] , 0.273
[2017/12/19 15:37:37] , 0.286
[2017/12/19 15:37:38] , 0.267
[2017/12/19 15:37:38] , 0.343
[2017/12/19 15:37:38] , 0.27
