[2017/12/19 10:18:10] , 369.206 , -21.8151 , 31.9494 , 32.3252
[2017/12/19 10:18:10] , 381.819 , -22.0717 , 31.6736 , 32.0113
[2017/12/19 10:18:10] , 235.881 , -22.2131 , 31.3533 , 31.6846
[2017/12/19 10:18:10] , 237.808 , -22.1694 , 31.6405 , 31.9863
[2017/12/19 10:18:10] , 237.653 , -22.105 , 32.0199 , 32.3757
[2017/12/19 10:18:09] , 346.339 , -22.2898 , 31.5996 , 32.0113
[2017/12/19 10:18:09] , 285.582 , -22.3825 , 31.2505 , 31.7293
[2017/12/19 10:18:09] , 251.214 , -22.1252 , 31.8682 , 32.2264
[2017/12/19 10:18:09] , 276.069 , -22.2038 , 31.9735 , 32.2661
[2017/12/19 10:18:09] , 374.912 , -22.1884 , 31.8897 , 32.2496
[2017/12/19 10:18:09] , 307.88 , -22.2183 , 31.5487 , 31.9014
[2017/12/19 10:18:09] , 112.486 , -22.0101 , 31.5108 , 32.001
[2017/12/19 10:18:08] , 326.578 , -22.4165 , 31.2595 , 31.6127
[2017/12/19 10:18:08] , 254.848 , -22.1318 , 31.4351 , 31.773
[2017/12/19 10:18:08] , 419.849 , -22.2131 , 31.4216 , 31.7676
[2017/12/19 10:18:08] , 195.755 , -22.1588 , 31.4356 , 31.8216
[2017/12/19 10:18:08] , 348.138 , -21.9252 , 31.7127 , 31.9437
[2017/12/19 10:18:08] , 228.195 , -22.1592 , 31.6491 , 32.0259
[2017/12/19 10:18:08] , 297.44 , -22.1335 , 31.9573 , 32.4545
[2017/12/19 10:18:08] , 435.975 , -22.0914 , 31.7568 , 32.2147
[2017/12/19 10:18:07] , 156.855 , -22.1869 , 31.8082 , 32.0963
[2017/12/19 10:18:07] , 234.123 , -22.235 , 31.7708 , 32.1635
[2017/12/19 10:18:07] , 284.057 , -22.1495 , 31.6012 , 31.8953
[2017/12/19 10:18:07] , 193.8 , -22.2902 , 31.3746 , 31.776
[2017/12/19 10:18:07] , 303.581 , -22.5206 , 31.5222 , 31.9354
[2017/12/19 10:18:07] , 336.57 , -22.106 , 31.775 , 32.0901
[2017/12/19 10:18:07] , 124.734 , -22.2413 , 31.7135 , 32.1051
[2017/12/19 10:18:07] , 367.625 , -22.2207 , 31.6199 , 32.042
[2017/12/19 10:18:06] , 114.891 , -22.4693 , 31.4527 , 31.8831
[2017/12/19 10:18:06] , 143.334 , -22.4568 , 30.7478 , 31.2184
[2017/12/19 10:18:06] , 203.259 , -22.4074 , 31.3277 , 31.6741
[2017/12/19 10:18:06] , 302.621 , -22.0466 , 31.7372 , 31.9883
[2017/12/19 10:18:06] , 180.512 , -22.3219 , 31.7807 , 31.9526
[2017/12/19 10:18:06] , 225.463 , -22.1221 , 31.4075 , 31.8701
[2017/12/19 10:18:06] , 402.508 , -21.8948 , 31.752 , 32.0188
[2017/12/19 10:18:05] , 211.804 , -22.2806 , 31.8965 , 32.1607
[2017/12/19 10:18:05] , 345.688 , -22.2778 , 31.3065 , 31.7085
[2017/12/19 10:18:05] , 296.604 , -22.1131 , 31.6084 , 32.044
[2017/12/19 10:18:05] , 327.926 , -21.907 , 31.4732 , 31.7734
[2017/12/19 10:18:05] , 215.816 , -21.9585 , 31.6706 , 31.8335
[2017/12/19 10:18:05] , 301.823 , -22.1633 , 31.6082 , 31.8999
[2017/12/19 10:18:05] , 236.114 , -22.2092 , 31.8453 , 32.1223
[2017/12/19 10:18:05] , 157.629 , -22.4207 , 31.497 , 31.9672
[2017/12/19 10:18:04] , 221.292 , -22.0613 , 31.6848 , 31.9553
[2017/12/19 10:18:04] , 341.82 , -22.1771 , 31.692 , 31.9881
[2017/12/19 10:18:04] , 233.2 , -22.305 , 31.5711 , 31.8704
[2017/12/19 10:18:04] , 162.916 , -22.4019 , 31.0375 , 31.4551
[2017/12/19 10:18:04] , 222.193 , -22.3043 , 31.4 , 31.8658
[2017/12/19 10:18:04] , 140.959 , -22.4238 , 31.1131 , 31.5167
[2017/12/19 10:18:04] , 234.937 , -21.9345 , 31.8605 , 32.064
[2017/12/19 10:18:04] , 256.457 , -21.8504 , 31.6812 , 32.0729
[2017/12/19 10:18:03] , 128.669 , -22.1198 , 31.6309 , 32.0127
[2017/12/19 10:18:03] , 319.973 , -22.1614 , 31.4123 , 31.9109
[2017/12/19 10:18:03] , 241.697 , -22.2545 , 31.552 , 32.0122
[2017/12/19 10:18:03] , 253.716 , -22.2997 , 31.8377 , 32.3016
[2017/12/19 10:18:03] , 116.872 , -22.202 , 31.6369 , 32.0703
[2017/12/19 10:18:03] , 204.656 , -22.1966 , 31.8044 , 32.2311
[2017/12/19 10:18:03] , 240.875 , -22.1359 , 31.8024 , 32.1237
[2017/12/19 10:18:02] , 141.285 , -21.8289 , 32.0045 , 32.3878
[2017/12/19 10:18:02] , 329.872 , -22.0941 , 31.6682 , 31.9512
[2017/12/19 10:18:02] , 115.037 , -22.2248 , 31.438 , 31.932
[2017/12/19 10:18:02] , 311.101 , -22.244 , 31.7593 , 32.1016
[2017/12/19 10:18:02] , 418.883 , -22.2872 , 31.5359 , 31.7844
[2017/12/19 10:18:02] , 329.363 , -22.15 , 31.6602 , 31.9726
[2017/12/19 10:18:02] , 198.263 , -22.0585 , 31.7636 , 32.0804
[2017/12/19 10:18:02] , 326.355 , -22.1872 , 31.7685 , 32.1258
[2017/12/19 10:18:01] , 137.958 , -22.3138 , 31.3834 , 31.7906
[2017/12/19 10:18:01] , 277.942 , -22.1346 , 31.8119 , 32.1737
[2017/12/19 10:18:01] , 451.695 , -21.9907 , 31.8121 , 31.9501
[2017/12/19 10:18:01] , 340.182 , -22.2046 , 31.4805 , 31.6661
